Dates,SX5E Index,DAX Index,UKX Index,SMI Index,SPX Index,CCMP Index,NDX Index,NKY Index,HSI Index,MXEF Index,MXWO Index,MXWD Index,USDR1T Curncy,EUDR1T Curncy,SFDR1T Curncy,BPDR1T Curncy,JYDR1T Curncy,SPI Index,NDUEAWXZ Index,VICASCI SW Equity,VICAAI1 SW Equity,STXAAIGV Index,CSRPAIS Index,SX5T Index,TUKXG Index,SMIC Index,SPXT Index,NDUEEGF Index,NDDUWI Index
1988-10-24,831.32,1281.22,1848.4,1587.7,282.28,387.23,178.41,27281.54,2562.46,130.88,468.11,114.89,,,,,,934.73,,,,,,766.09,528.25,,290.49,,748.52
1988-10-25,832.41,1293.72,1847.8,1588.3,282.38,386.12,177.4,27421.49,2584.53,130.76,468.89,115.08,,,,,,934.24,,,,,,767.11,528.1,,290.62,,748.52
1988-10-26,846.5,1310.63,1850.8,1597.2,281.38,385.19,176.35,27620.6,2610.62,130.35,471.76,115.77,,,,,,938.75,,,,,,780.08,528.91,,289.66,,748.52
1988-10-27,836.33,1313.35,1852.1,1588.3,277.28,381.77,174.28,27722.92,2617.25,131.36,470.98,115.58,,,,,,935.96,,,,,,770.72,529.37,,285.44,,748.52
1988-10-28,841.45,1314.98,1858.4,1596.8,278.53,382.79,174.88,27741.34,2614.47,132.46,471.48,115.72,,,,,,940.19,,,,,,775.43,531.21,,286.74,,748.52
1988-10-29,841.45,1314.98,1858.4,1596.8,278.53,382.79,174.88,27741.34,2614.47,132.46,471.48,115.72,,,,,,940.19,,,,,,775.43,531.21,,286.74,,748.52
1988-10-30,841.45,1314.98,1858.4,1596.8,278.53,382.79,174.88,27741.34,2614.47,132.46,471.48,115.72,,,,,,940.19,,,,,,775.43,531.21,,286.74,,748.52
1988-10-31,837.84,1300.79,1852.4,1590.8,278.97,382.46,174.78,27982.54,2627.41,132.54,475.07,116.6,,,,,,936.43,,,,,,772.25,529.95,,287.27,,798.132
1988-11-01,842.83,1310.79,1857.8,1596.4,279.06,382.35,174.59,28013.67,2615.43,131.83,474.06,116.34,,,,,,940.56,,,,,,776.85,531.44,,287.51,,798.132
1988-11-02,838.65,1288.55,1843.1,1604.3,279.06,381.78,174.01,27985.26,2607.82,132.75,474.88,116.54,,,,,,943.72,,,,,,773.0,527.33,,287.51,,798.132
1988-11-03,837.14,1280.58,1837.6,1593.4,279.2,382.76,174.25,27985.26,2584.49,133.66,475.77,116.76,,,,,,939.41,,,,,,771.61,525.78,,287.71,,798.132
1988-11-04,838.31,1285.02,1834.3,1594.0,276.31,381.02,173.56,27953.25,2584.51,135.62,471.21,115.66,,,,,,940.34,,,,,,772.77,524.78,,284.96,,798.132
1988-11-05,838.31,1285.02,1834.3,1594.0,276.31,381.02,173.56,27953.25,2584.51,135.62,471.21,115.66,,,,,,940.34,,,,,,772.77,524.78,,284.96,,798.132
1988-11-06,838.31,1285.02,1834.3,1594.0,276.31,381.02,173.56,27953.25,2584.51,135.62,471.21,115.66,,,,,,940.34,,,,,,772.77,524.78,,284.96,,798.132
1988-11-07,830.56,1271.13,1819.7,1578.7,273.93,376.51,171.34,27866.36,2567.02,137.23,468.84,115.09,,,,,,932.69,,,,,,765.62,520.51,,282.65,,798.132
1988-11-08,836.86,1287.88,1840.6,1584.4,275.15,378.84,173.75,28007.27,2587.02,137.3,470.96,115.61,,,,,,935.5,,,,,,771.44,526.57,,283.97,,798.132
1988-11-09,833.03,1277.58,1825.7,1579.3,273.33,377.74,173.5,28212.78,2582.98,138.26,474.9,116.57,,,,,,933.33,,,,,,767.9,522.33,,282.15,,798.132
1988-11-10,830.49,1263.34,1826.2,1561.0,273.69,378.4,173.28,28166.42,2577.01,136.99,476.28,116.9,,,,,,926.03,,,,,,765.56,522.49,,282.59,,798.132
1988-11-11,826.42,1252.18,1802.7,1540.7,267.92,373.76,169.24,28489.57,2583.74,136.46,478.95,117.55,,,,,,916.92,,,,,,761.81,515.78,,276.63,,798.132
1988-11-12,826.42,1252.18,1802.7,1540.7,267.92,373.76,169.24,28489.57,2583.74,136.46,478.95,117.55,,,,,,916.92,,,,,,761.81,515.78,,276.63,,798.132
1988-11-13,826.42,1252.18,1802.7,1540.7,267.92,373.76,169.24,28489.57,2583.74,136.46,478.95,117.55,,,,,,916.92,,,,,,761.81,515.78,,276.63,,798.132
1988-11-14,821.69,1261.84,1794.3,1533.9,267.72,372.36,168.96,28520.9,2537.99,135.46,476.09,116.86,,,,,,913.37,,,,,,757.45,514.23,,276.55,,798.132
1988-11-15,819.76,1262.54,1802.3,1531.7,268.34,372.13,168.1,28829.41,2568.58,135.27,478.92,117.56,,,,,,914.47,,,,,,755.67,516.57,,277.21,,798.132
1988-11-16,822.09,1262.54,1807.3,1542.7,263.82,367.79,165.53,28996.12,2566.88,134.38,478.61,117.46,,,,,,918.88,,,,,,758.17,517.96,,272.6,,798.132
1988-11-17,819.3,1264.59,1823.6,1528.6,264.6,367.43,166.21,29076.81,2568.79,134.84,479.31,117.64,,,,,,912.37,,,,,,755.6,522.58,,273.42,,798.132
1988-11-18,825.01,1277.55,1823.4,1428.2,266.47,367.58,166.53,29180.2,2581.16,135.92,481.57,118.12,,,,,,910.43,,,,,,760.87,522.47,,275.42,,798.132
